col1,col2,col3,col4,col5,col6,col7,col8,col9,maed_dctf,maed_dctf_total,maed_dctf_prox_mes
-0.5069801570418135,-0.5029687170387511,2.3297847038251227,10.365821784573672,2.0909325447266665,-0.18695621094888273,3.0961367809886533,-0.010815213046101484,-0.48744862322697585,0,0,1
-0.5229654669585896,-0.5028261630964784,-0.6297267155720401,-0.4286569485427647,-0.5226118178910504,-0.18695621094888273,-0.46481726965356096,-0.010814893930420375,-0.4868126914428893,0,0,1
-0.5229654669585896,-0.502806423970313,-0.6297011918161719,-0.42858594786674153,-0.5226118178910504,-0.18695621094888273,-0.464795679542828,-0.01081494421243169,-0.4866407543094611,1,1,1
-0.5229654669585896,-0.502806423970313,-0.629739408490437,-0.4286922531068535,-0.5226118178910504,-0.18695621094888273,-0.4648280051773721,-0.010814862882036237,-0.4874485979797316,1,2,1
-0.5229654669585896,-0.5028261630964784,-0.6296798662545956,-0.4285266283681155,-0.5226118178910504,-0.18695621094888273,-0.4647776386467271,-0.01081497718171375,-0.4868315679176155,1,3,0
-0.523483431359302,-0.5029674610147249,-0.0398065298591623,2.8361136814298202,-0.5226118178910504,-0.18695621094888273,2.1377118113763394,-0.010814604898246328,-0.48744862322697585,0,0,1
-0.5234174088448785,-0.5029082655851308,-0.6079725901855663,-0.42913222236949006,-0.5226118178910504,-0.18695621094888273,-0.461165873359052,-0.01081540533239892,-0.4873907498877117,0,0,1
-0.5233955215085103,-0.5010084730440579,-0.6079728791143394,-0.42913222236949006,-0.5226118178910504,-0.18695621094888273,-0.41822468809688296,-0.010815034028718256,-0.4855819878999927,1,1,0
-0.5221466375517232,-0.42762746283244807,-0.5398238953737949,0.013801523587554137,-0.5226118178910504,-0.18695621094888273,-0.25025239060630766,-0.01081498853650624,-0.4189828824289308,0,0,1
-0.5223592172680435,-0.428446953953994,-0.5343310430412705,0.042464494633617705,-0.5226118178910504,-0.18695621094888273,-0.25562678319320137,-0.010815025213709703,-0.3946174284916766,1,1,0
-0.36138797967642583,-0.0862049995912024,-0.15966697539712682,0.5060655622404364,-0.004495373271129587,-0.18695621094888273,-0.12680288155670613,-0.010815304696721841,-0.1653990279837561,0,0,1
0.0957091947650247,-0.17707574131385442,0.004991929388888464,0.7133069239848834,0.17693153992798555,-0.18695621094888273,-0.07875221912886066,-0.01081532574304653,-0.07753874081604673,1,1,0
0.012853273278364441,-0.5029598086704972,0.031117983154137777,0.14123842380406096,0.20571813543500167,-0.18695621094888273,-0.1004956321212595,-0.010815336541145911,-0.4874451906145407,0,1,1
